horario_atencionAlEstudiante,9 a 17 hs.
telefono_atencionAlEstudiante,0810-555-0550
dias_atencionAlEstudiante,lunes a viernes
link_estudiarEnArgentina,http://estudiarenargentina.siu.edu.ar/
link_instructivoPopUp,https://www.youtube.com/watch?v=FvC3lPccpIU
link_ofertaAcademica,http://www.unlvirtual.edu.ar/oferta-academica-2019/
link_unidadesAcademicas,http://www.unlvirtual.edu.ar/unidades-academicas-2/
periodoInscripcionCarrera,del 27 de enero al 28 de febrero
periodoInscripcionExcepcionalCarrera,Consultar
periodoInscripcionSUR,consultar
fecha_inicioAñoAcademico,fines del mes de marzo
link_formularioInscripcionExcepcionalCarrera,Consultar
sitioAjeno,Consultar
fecha_EntregaDocumentosExcepcionalCarrera,Consultar
datosDeContactoFCM,"FCM | Facultad de Ciencias Médicas
Ciudad Universitaria – Paraje El Pozo | Ruta Nacional N° 168 – Km 472,4 (3000) | Santa Fe. Argentina |
Coordinación de Educación a Distancia | Tel: +54 (0342) 4575116/7 Interno 103 | www.fcm.unl.edu.ar"""
link_solicitudesEspeciales,http://www.unlvirtual.edu.ar/solicitudes-especiales/
link_gastosAdministrativos,http://www.unlvirtual.edu.ar/gastos-administrativos/
direccionCEMED,"San Jerónimo 3231, Santa Fe"
mediosDePago,"Link, Bica Ágil, Pago Mis cuentas, Todo Pago, Rapi Pago, Banco Nación."
link_campusVirtualUNL,http://www.unlvirtual.edu.ar/campus-virtual-unl/
datosDeContactoUNL,"TELÉFONOS: +54 (0342) 4571110
EMAIL: informes@unl.edu.ar
"
datosDeContactoCentroIdiomas,"Centro de Idiomas de la UNL
San Jerónimo 1750
Horarios de atención:8 a 12 hs y 15 a 20 hs
E-mail: idiomasalumnado@unl.edu.ar
Tel:0342-4585613/14
"
link_guiaDeIngreso,http://www.unlvirtual.edu.ar/guia-de-ingreso/
coordinadoraAPULADUL,María Ángeles Miró
telCoordinadoraAPULADUL, (0342) 4571110 interno 104.
listaSedes,"(Esperanza, Gálvez, Rafaela-Sunchales y Reconquista-Avellaneda). "
diaCierreEntregaTitulo,último día del mes de junio del año académico
datoSedeReconquista,"Centro Universitario / Reconquista-Avellaneda
Sede: Mitre 461 (Reconquista)
Teléfono: (03482) 428230
E-mail: cu-ra@unl.edu.ar 
Web: www.cu-ra.unl.edu.ar
"
datoSedeGalvez,"Centro Universitario / Gálvez
Sede: Florentino Ameghino 50 bis (Gálvez)
Teléfono: (03404) 481203
E-mail: cu-galvez@unl.edu.ar   
Web: www.cu-galvez.unl.edu.ar
"
datoSedeRafaela,"Centro Universitario Rafaela / Sunchales
Sede: San Martín 221, (Rafaela)
Teléfono: +54 (03492) 453080
E-Mail: sede-rs@unl.edu.ar
"
AÑO_ACTUAL,2020
link_calendarioAcademico,https://www.youtube.com/watch?v=yjRqZPo6sVw
tecnologiasDiseñoProgramacionVideojuegos,Lenguaje C++ Librerías SML y SFML Unity 3D HTML5 AS3 Flixel y HAXE Flixel OpenGL y GLUT Java for Android
programaDiseñoProgramacionVideojuegos,1er año: Introducción a la programación Introducción al diseño de videojuegos Videojuegos y sociedad 2do año: Modelos y algoritmos para videojuegos II Programación de videojuegos I Manipulación de objetos 2D 3er año: Optativa 1 - Prototipado rápido Optativa 2 - Inteligencia artificial para videojuegos Proyecto final de carrera Programación de videojuegos III
